message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ;;;;message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
97;5.85204;0.000000;0.809665;2.084509;0.437673;2.249106;2.178173;0.015770;;;;97;5.85204;0.000000;0.809665;2.084509;0.437673;2.249106;2.178173;0.015770
98;5.91719;0.000000;0.809719;2.084022;0.437670;2.249133;2.178145;0.015770;;;;98;5.91719;0.000000;0.809719;2.084022;0.437670;2.249133;2.178145;0.015770
99;5.97803;0.000000;0.809753;2.083570;0.437667;2.249057;2.178222;0.015769;;;;99;5.97803;0.000000;0.809753;2.083570;0.437667;2.249057;2.178222;0.015769
100;6.04343;0.000000;0.809804;2.083126;0.437671;2.249125;2.178153;0.015770;;;;100;6.04343;0.000000;0.809804;2.083126;0.437671;2.249125;2.178153;0.015770
101;6.10261;0.000000;0.809874;2.082664;0.437667;2.249119;2.178158;0.015769;;;;101;6.10261;0.000000;0.809874;2.082664;0.437667;2.249119;2.178158;0.015769
102;6.15804;0.000000;0.809936;2.082176;0.437663;2.249063;2.178215;0.015769;;;;102;6.15804;0.000000;0.809936;2.082176;0.437663;2.249063;2.178215;0.015769
103;6.21808;0.000000;0.809973;2.081723;0.437661;2.249129;2.178147;0.015769;;;;103;6.21808;0.000000;0.809973;2.081723;0.437661;2.249129;2.178147;0.015769
104;6.27813;0.000000;0.810019;2.081297;0.437664;2.249128;2.178148;0.015769;;;;104;6.27813;0.000000;0.810019;2.081297;0.437664;2.249128;2.178148;0.015769
105;6.34715;0.000000;0.810065;2.080871;0.437661;2.249138;2.178137;0.015769;;;;105;6.34715;0.000000;0.810065;2.080871;0.437661;2.249138;2.178137;0.015769
106;6.40002;0.000000;0.810104;2.080490;0.437665;2.249094;2.178182;0.015769;;;;106;6.40002;0.000000;0.810104;2.080490;0.437665;2.249094;2.178182;0.015769
107;6.45995;0.000000;0.810134;2.080099;0.437663;2.249132;2.178142;0.015769;;;;107;6.45995;0.000000;0.810134;2.080099;0.437663;2.249132;2.178142;0.015769
108;6.52008;0.000000;0.810155;2.079727;0.437667;2.249149;2.178125;0.015769;;;;108;6.52008;0.000000;0.810155;2.079727;0.437667;2.249149;2.178125;0.015769
109;6.58007;0.000000;0.810186;2.079381;0.437671;2.249085;2.178190;0.015769;;;;109;6.58007;0.000000;0.810186;2.079381;0.437671;2.249085;2.178190;0.015769
110;6.63999;0.000000;0.810230;2.079052;0.437669;2.249012;2.178266;0.015768;;;;110;6.63999;0.000000;0.810230;2.079052;0.437669;2.249012;2.178266;0.015768
111;6.69999;0.000000;0.810273;2.078696;0.437672;2.249006;2.178271;0.015768;;;;111;6.69999;0.000000;0.810273;2.078696;0.437672;2.249006;2.178271;0.015768
112;6.76009;0.000000;0.810304;2.078350;0.437670;2.249156;2.178116;0.015769;;;;112;6.76009;0.000000;0.810304;2.078350;0.437670;2.249156;2.178116;0.015769
113;6.81999;0.000000;0.810335;2.078048;0.437674;2.249205;2.178066;0.015770;;;;113;6.81999;0.000000;0.810335;2.078048;0.437674;2.249205;2.178066;0.015770
114;6.88702;0.000000;0.810367;2.077737;0.437672;2.249145;2.178127;0.015769;;;;114;6.88702;0.000000;0.810367;2.077737;0.437672;2.249145;2.178127;0.015769
115;6.95009;0.000000;0.810378;2.077444;0.437677;2.249076;2.178198;0.015769;;;;115;6.95009;0.000000;0.810378;2.077444;0.437677;2.249076;2.178198;0.015769
116;7.0099;0.000000;0.810405;2.077134;0.437675;2.249147;2.178125;0.015769;;;;116;7.0099;0.000000;0.810405;2.077134;0.437675;2.249147;2.178125;0.015769
117;7.07897;0.000000;0.810449;2.076840;0.437672;2.249196;2.178074;0.015769;;;;117;7.07897;0.000000;0.810449;2.076840;0.437672;2.249196;2.178074;0.015769
