message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
164;9.87396;0.000000;0.755591;2.105329;0.337635;1.296910;-2.162431;0.333767
165;9.93597;0.000000;0.756246;2.105064;0.339237;1.294987;-2.175200;0.333739
166;9.99598;0.000000;0.756899;2.104807;0.340910;1.292972;-2.187627;0.334299
167;10.056;0.000000;0.757536;2.104524;0.342514;1.290889;-2.200341;0.334292
168;10.1159;0.000000;0.758130;2.104258;0.344079;1.288833;-2.212885;0.334336
169;10.176;0.000000;0.758710;2.104008;0.345612;1.286681;-2.225401;0.334457
170;10.2359;0.000000;0.759275;2.103733;0.347273;1.284547;-2.238149;0.334046
171;10.296;0.000000;0.759828;2.103433;0.348913;1.282275;-2.250553;0.334224
172;10.356;0.000000;0.760359;2.103140;0.350451;1.279982;-2.263100;0.333947
173;10.416;0.000000;0.760880;2.102822;0.352039;1.277656;-2.275742;0.333351
174;10.476;0.000000;0.761389;2.102521;0.353602;1.275248;-2.288179;0.333129
175;10.538;0.000000;0.761884;2.102219;0.355084;1.272865;-2.300563;0.332734
176;10.598;0.000000;0.762370;2.101908;0.356639;1.270358;-2.313063;0.332268
177;10.6579;0.000000;0.762842;2.101597;0.358128;1.267801;-2.325431;0.331925
178;10.7179;0.000000;0.763298;2.101269;0.359621;1.265252;-2.337829;0.331289
179;10.778;0.000000;0.763746;2.100933;0.361187;1.262609;-2.350372;0.330334
180;10.8379;0.000000;0.764183;2.100621;0.362709;1.259964;-2.362775;0.329590
181;10.898;0.000000;0.764606;2.100301;0.364173;1.257246;-2.375004;0.328855
182;10.9579;0.000000;0.765031;2.099963;0.365716;1.254468;-2.387528;0.327784
183;11.0179;0.000000;0.765435;2.099609;0.367140;1.251647;-2.399722;0.327011
184;11.0779;0.000000;0.765825;2.099263;0.368555;1.248799;-2.412167;0.325749
185;11.138;0.000000;0.766202;2.098924;0.370035;1.245994;-2.424580;0.324300
186;11.198;0.000000;0.766576;2.098603;0.371542;1.243046;-2.436782;0.323278
187;11.258;0.000000;0.766953;2.098273;0.372976;1.240087;-2.448967;0.322094
188;11.318;0.000000;0.767323;2.097917;0.374389;1.237105;-2.461299;0.320556
189;11.378;0.000000;0.767665;2.097544;0.375793;1.234033;-2.473410;0.319296
190;11.438;0.000000;0.767977;2.097197;0.377185;1.230916;-2.485493;0.317909
191;11.5;0.000000;0.768284;2.096866;0.378587;1.227873;-2.497724;0.316103
192;11.56;0.000000;0.768600;2.096526;0.380017;1.224686;-2.510159;0.314172
193;11.62;0.000000;0.768898;2.096170;0.381425;1.221498;-2.522165;0.312621
194;11.6799;0.000000;0.769182;2.095813;0.382812;1.218262;-2.534113;0.310938
195;11.7399;0.000000;0.769475;2.095465;0.384187;1.215101;-2.546338;0.308651
196;11.7999;0.000000;0.769766;2.095124;0.385539;1.211788;-2.558311;0.306968
197;11.8599;0.000000;0.770033;2.094792;0.386880;1.208541;-2.570275;0.304940
198;11.9199;0.000000;0.770285;2.094435;0.388209;1.205096;-2.582462;0.302493
199;11.98;0.000000;0.770540;2.094078;0.389548;1.201657;-2.594582;0.300093
200;12.04;0.000000;0.770781;2.093729;0.390877;1.198179;-2.606505;0.297983
201;12.1;0.000000;0.771023;2.093379;0.392196;1.194690;-2.618270;0.295848
202;12.16;0.000000;0.771264;2.093055;0.393519;1.191228;-2.630201;0.293284
203;12.22;0.000000;0.771469;2.092732;0.394848;1.187719;-2.642237;0.290602
204;12.28;0.000000;0.771657;2.092383;0.396148;1.184090;-2.653922;0.288348
205;12.34;0.000000;0.771857;2.092033;0.397445;1.180505;-2.665744;0.285634
206;12.4;0.000000;0.772081;2.091700;0.398748;1.176933;-2.677778;0.282406
207;12.46;0.000000;0.772283;2.091367;0.400040;1.173308;-2.689561;0.279495
208;12.5199;0.000000;0.772446;2.091035;0.401320;1.169588;-2.701189;0.276751
