message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
238;14.43;0.000000;0.775408;2.082490;0.433870;-1.013489;2.955079;-0.190346
239;14.49;0.000000;0.775477;2.082276;0.434661;-1.004870;2.953824;-0.187074
240;14.55;0.000000;0.775525;2.082062;0.435495;-0.996402;2.952710;-0.184577
241;14.61;0.000000;0.775569;2.081849;0.436256;-0.987953;2.951650;-0.181663
242;14.67;0.000000;0.775649;2.081634;0.437064;-0.979577;2.950800;-0.179270
243;14.734;0.000000;0.775668;2.081413;0.437765;-0.971356;2.949952;-0.176537
244;14.794;0.000000;0.775704;2.081199;0.438453;-0.963058;2.949008;-0.174098
245;14.854;0.000000;0.775771;2.081027;0.439097;-0.955071;2.948449;-0.171639
246;14.914;0.000000;0.775827;2.080847;0.439887;-0.946931;2.947431;-0.168607
247;14.974;0.000000;0.775912;2.080675;0.440621;-0.938970;2.946887;-0.166388
248;15.0339;0.000000;0.775973;2.080512;0.441292;-0.931116;2.946271;-0.163710
249;15.094;0.000000;0.776004;2.080332;0.441881;-0.923298;2.945799;-0.161497
250;15.154;0.000000;0.776039;2.080153;0.442480;-0.915545;2.945335;-0.159188
251;15.214;0.000000;0.776103;2.079981;0.443139;-0.907855;2.944846;-0.156536
252;15.274;0.000000;0.776176;2.079834;0.443732;-0.900240;2.944429;-0.154246
253;15.334;0.000000;0.776218;2.079688;0.444256;-0.892718;2.944178;-0.152273
254;15.394;0.000000;0.776280;2.079524;0.444805;-0.885247;2.943906;-0.149932
255;15.454;0.000000;0.776347;2.079395;0.445312;-0.877798;2.943590;-0.147456
256;15.514;0.000000;0.776419;2.079273;0.445855;-0.870441;2.943410;-0.145346
257;15.574;0.000000;0.776463;2.079153;0.446385;-0.863163;2.943284;-0.143350
258;15.6339;0.000000;0.776528;2.079023;0.446835;-0.855887;2.943215;-0.141281
259;15.6939;0.000000;0.776569;2.078911;0.447359;-0.848661;2.943236;-0.139343
260;15.754;0.000000;0.776619;2.078808;0.447855;-0.841441;2.943137;-0.136858
261;15.814;0.000000;0.776700;2.078694;0.448191;-0.834331;2.943246;-0.135035
262;15.874;0.000000;0.776748;2.078599;0.448599;-0.827362;2.943330;-0.133196
263;15.942;0.000000;0.776783;2.078496;0.449103;-0.820454;2.943409;-0.131084
264;16.002;0.000000;0.776839;2.078392;0.449505;-0.813515;2.943455;-0.128942
265;16.062;0.000000;0.776902;2.078305;0.449879;-0.806596;2.943629;-0.126952
266;16.122;0.000000;0.776968;2.078218;0.450311;-0.799702;2.943803;-0.124980
267;16.182;0.000000;0.777058;2.078138;0.450658;-0.793013;2.944066;-0.123040
268;16.242;0.000000;0.777111;2.078068;0.450976;-0.786269;2.944293;-0.121105
269;16.302;0.000000;0.777157;2.077999;0.451254;-0.779592;2.944619;-0.119209
270;16.362;0.000000;0.777224;2.077920;0.451612;-0.772958;2.944994;-0.117570
271;16.422;0.000000;0.777295;2.077841;0.451946;-0.766398;2.945286;-0.115596
272;16.482;0.000000;0.777365;2.077779;0.452234;-0.759921;2.945758;-0.113948
