message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
277;16.9098;0.000000;0.777632;2.077583;0.453544;-0.728104;2.948145;-0.105023
278;16.9698;0.000000;0.777711;2.077563;0.453765;-0.721857;2.948679;-0.103403
279;17.04;0.000000;0.777772;2.077535;0.453980;-0.715600;2.949342;-0.101982
280;17.0999;0.000000;0.777844;2.077516;0.454188;-0.709403;2.949947;-0.100507
281;17.174;0.000000;0.777892;2.077489;0.454382;-0.703235;2.950578;-0.099047
282;17.2339;0.000000;0.777961;2.077478;0.454619;-0.697193;2.951175;-0.097617
283;17.2939;0.000000;0.778016;2.077468;0.454789;-0.691203;2.951886;-0.096389
284;17.3539;0.000000;0.778050;2.077458;0.454944;-0.685202;2.952592;-0.095092
285;17.414;0.000000;0.778106;2.077456;0.455120;-0.679280;2.953089;-0.092655
286;17.4739;0.000000;0.778181;2.077445;0.455282;-0.673354;2.953560;-0.090000
287;17.5439;0.000000;0.778231;2.077443;0.455437;-0.667531;2.954270;-0.088454
288;17.6039;0.000000;0.778256;2.077443;0.455572;-0.661803;2.954961;-0.086716
289;17.6639;0.000000;0.778300;2.077441;0.455681;-0.656061;2.955745;-0.085289
290;17.7239;0.000000;0.778364;2.077439;0.455805;-0.650348;2.956562;-0.084098
291;17.7839;0.000000;0.778424;2.077437;0.455925;-0.644653;2.957330;-0.082474
292;17.8439;0.000000;0.778470;2.077435;0.456020;-0.638938;2.958113;-0.080714
293;17.904;0.000000;0.778508;2.077434;0.456115;-0.633288;2.958992;-0.079326
294;17.964;0.000000;0.778541;2.077433;0.456236;-0.627687;2.959829;-0.077853
295;18.0258;0.000000;0.778593;2.077440;0.456326;-0.622162;2.960725;-0.076701
296;18.0859;0.000000;0.778641;2.077438;0.456398;-0.616676;2.961584;-0.075115
297;18.1459;0.000000;0.778693;2.077445;0.456463;-0.611177;2.962483;-0.073859
298;18.2059;0.000000;0.778758;2.077460;0.456532;-0.605682;2.963306;-0.072022
299;18.266;0.000000;0.778796;2.077493;0.456569;-0.600251;2.964183;-0.070634
300;18.3259;0.000000;0.778830;2.077552;0.456611;-0.594886;2.965014;-0.069062
301;18.3859;0.000000;0.778857;2.077619;0.456672;-0.589581;2.965840;-0.067583
302;18.4459;0.000000;0.778890;2.077686;0.456816;-0.584292;2.966650;-0.066073
303;18.5059;0.000000;0.778933;2.077762;0.456940;-0.579104;2.967440;-0.064218
304;18.5658;0.000000;0.779002;2.077819;0.456937;-0.573966;2.968496;-0.062939
305;18.6258;0.000000;0.779060;2.077869;0.456913;-0.568762;2.969682;-0.062027
306;18.6859;0.000000;0.779086;2.077928;0.456881;-0.563643;2.970841;-0.060996
307;18.746;0.000000;0.779106;2.077978;0.456876;-0.558535;2.971922;-0.059832
308;18.806;0.000000;0.779122;2.078020;0.456882;-0.553508;2.972988;-0.058420
309;18.8658;0.000000;0.779137;2.078054;0.456921;-0.548407;2.974062;-0.057417
310;18.9259;0.000000;0.779161;2.078105;0.456920;-0.543413;2.975103;-0.056167
311;18.986;0.000000;0.779182;2.078147;0.456901;-0.538430;2.976198;-0.054901
312;19.046;0.000000;0.779201;2.078189;0.456909;-0.533500;2.977132;-0.053399
313;19.106;0.000000;0.779226;2.078231;0.456908;-0.528519;2.978243;-0.052378
314;19.1658;0.000000;0.779261;2.078272;0.456878;-0.523662;2.979384;-0.051316
315;19.2259;0.000000;0.779286;2.078297;0.456866;-0.518841;2.980447;-0.050029
316;19.2858;0.000000;0.779299;2.078348;0.456885;-0.514075;2.981456;-0.048437
317;19.3459;0.000000;0.779313;2.078399;0.456874;-0.509299;2.982572;-0.047539
