message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
32;1.92182;0.989550;0.017621;0.996680;0.079493;0.783122;0.952495;-0.040910;0.301794;2.052882;0.304044;0.070398;-0.950053;0.184437;0.017001;0.996531;0.081472;0.782971;0.949413;-0.041645;0.311258;2.051890;0.313571;0.072059;-0.946827;0.184077;-0.012718;0.000000;-0.000000;0.001017;0.000000;0.000000;-0.033958;0.157230;0.000000;0.033869;-0.197111;-0.000000;
33;1.98178;0.992899;0.016813;0.996499;0.081891;0.783145;0.949514;-0.041575;0.310957;2.052160;0.313273;0.072528;-0.946890;0.184274;0.016282;0.996373;0.083526;0.782958;0.946661;-0.042249;0.319449;2.051169;0.321819;0.073870;-0.943915;0.183839;-0.012657;0.000000;-0.000000;0.001009;0.000000;0.000000;-0.031917;0.145405;0.000000;0.034011;-0.197087;-0.000000;
34;2.04179;0.992899;0.016124;0.996353;0.083791;0.783080;0.946785;-0.042157;0.319093;2.051391;0.321462;0.074187;-0.944012;0.184005;0.015605;0.996221;0.085440;0.782945;0.944071;-0.042828;0.326949;2.050453;0.329373;0.075559;-0.941172;0.183595;-0.012597;0.000000;-0.000000;0.001001;0.000000;0.000000;-0.029877;0.133580;0.000000;0.034011;-0.197087;-0.000000;
35;2.11142;0.988592;0.015373;0.996221;0.085483;0.783038;0.944373;-0.042556;0.326112;2.050665;0.328518;0.075714;-0.941458;0.183712;0.014974;0.996077;0.087212;0.782934;0.941657;-0.043379;0.333766;2.049743;0.336240;0.077126;-0.938613;0.183347;-0.012538;0.000000;-0.000000;0.000994;-0.000000;0.000000;-0.027783;0.121764;0.000000;0.034894;-0.196933;-0.000000;
36;2.16987;0.988592;0.014856;0.996081;0.087190;0.782995;0.941850;-0.043217;0.333244;2.049935;0.335706;0.077169;-0.938801;0.183439;0.014393;0.995942;0.088844;0.782923;0.939435;-0.043898;0.339903;2.049038;0.342424;0.078571;-0.936254;0.183096;-0.012479;0.000000;-0.000000;0.000986;0.000000;0.000000;-0.025690;0.109948;0.000000;0.034894;-0.196933;-0.000000;
37;2.22987;0.988592;0.014272;0.995946;0.088813;0.782962;0.939646;-0.043726;0.339343;2.049173;0.341850;0.078610;-0.936461;0.183196;0.013866;0.995815;0.090337;0.782912;0.937418;-0.044383;0.345366;2.048338;0.347930;0.079895;-0.934110;0.182841;-0.012420;0.000000;-0.000000;0.000979;0.000000;0.000000;-0.023596;0.098132;0.000000;0.034894;-0.196933;-0.000000;
38;2.2898;0.976324;0.013741;0.995822;0.090274;0.782940;0.937629;-0.044197;0.344817;2.048452;0.347366;0.079906;-0.934319;0.182938;0.013394;0.995698;0.091689;0.782902;0.935617;-0.044831;0.350160;2.047643;0.352763;0.081096;-0.932192;0.182583;-0.012362;0.000000;-0.000000;0.000972;0.000000;0.000000;-0.021450;0.086325;0.000000;0.035766;-0.196776;-0.000000;
39;2.3499;0.975389;0.013290;0.995701;0.091665;0.782934;0.935762;-0.044692;0.349789;2.047781;0.352382;0.081128;-0.932333;0.182702;0.012981;0.995592;0.092890;0.782892;0.934041;-0.045234;0.354290;2.046952;0.356930;0.082163;-0.930511;0.182322;-0.012304;0.000000;-0.000000;0.000966;0.000000;0.000000;-0.019105;0.074557;0.000000;0.039091;-0.196143;-0.000000;
40;2.40979;0.975460;0.012861;0.995594;0.092880;0.782908;0.934169;-0.045090;0.353971;2.047046;0.356600;0.082213;-0.930633;0.182428;0.012629;0.995499;0.093923;0.782882;0.932699;-0.045587;0.357764;2.046266;0.360436;0.083084;-0.929077;0.182060;-0.012246;0.000000;-0.000000;0.000959;0.000000;0.000000;-0.016494;0.062844;0.000000;0.043516;-0.195208;-0.000000;
41;2.46972;0.969103;0.012505;0.995503;0.093896;0.782869;0.932819;-0.045435;0.357470;2.046348;0.360129;0.083118;-0.929193;0.182124;0.012327;0.995420;0.094801;0.782873;0.931549;-0.045889;0.360707;2.045584;0.363406;0.083865;-0.927849;0.181796;-0.012189;0.000000;-0.000000;0.000953;0.000000;0.000000;-0.014034;0.053311;0.000000;0.041000;-0.158879;-0.000000;
42;2.52979;0.974515;0.012212;0.995421;0.094800;0.782829;0.931619;-0.045766;0.360542;2.045694;0.363230;0.083914;-0.927913;0.181901;0.012037;0.995347;0.095600;0.782864;0.930444;-0.046166;0.363514;2.044906;0.366236;0.084575;-0.926671;0.181532;-0.012132;0.000000;-0.000000;0.000947;0.000000;0.000000;-0.012762;0.050868;0.000000;0.021195;-0.040717;-0.000000;
43;2.58991;0.971896;0.011929;0.995348;0.095606;0.782777;0.930548;-0.046045;0.363263;2.045036;0.365975;0.084632;-0.926768;0.181613;0.011751;0.995276;0.096371;0.782855;0.929356;-0.046436;0.366253;2.044232;0.368998;0.085259;-0.925511;0.181266;-0.012075;0.000000;-0.000000;0.000942;0.000000;0.000000;-0.012311;0.049708;0.000000;0.007514;-0.019334;-0.000000;
